released,genre,director,nota_imdb
2000,Ação,Armand Mastroianni,5.1
2000,Ação,"Damian Lee, Jim Wynorski",3.1
2000,Ação,Guy Manos,5.2
2000,Ação,Guy Manos,5.2
2000,Ação,Stanley Tong,5.3
2000,"Ação, Aventura, Comédia",Courtney Solomon,3.6
2000,"Ação, Aventura, Comédia",Dale Resteghini,1.7
2000,"Ação, Aventura, Comédia",Doug Lefler,4.5
2000,"Ação, Aventura, Comédia",McG,5.5
2000,"Ação, Aventura, Comédia",Tom Dey,6.6
2000,"Ação, Aventura, Crime",Christian Duguay,5.7
2000,"Ação, Aventura, Drama",John Leekley,5.2
2000,"Ação, Aventura, Drama",Martin Campbell,5.8
2000,"Ação, Aventura, Drama",Wolfgang Petersen,6.4
2000,"Ação, Aventura, Família",G�sli Sn�r Erlingsson,6.5
2000,"Ação, Aventura, Fantasia",Douglas Aarniokoski,4.5
2000,"Ação, Aventura, Sci-Fi",Bryan Singer,7.4
2000,"Ação, Aventura, Sci-Fi",Bryan Singer,7.4
2000,"Ação, Aventura, Sci-Fi",Roger Christian,2.4
2000,"Ação, Aventura, Thriller",Clint Eastwood,6.4
2000,"Ação, Aventura, Thriller",John Terlesky,4.8
2000,"Ação, Aventura, Thriller",John Woo,6
2000,"Ação, Comédia, Crime",Anders Thomas Jensen,7.7
2000,"Ação, Comédia, Crime",Donald Petrie,6.1
2000,"Ação, Comédia, Crime",G�rard Krawczyk,6.4
2000,"Ação, Comédia, Crime",Raja Gosnell,5
2000,"Ação, Comédia, Drama",Harry Ralston,5.4
2000,"Ação, Comédia, Drama",Jingle Ma,5.9
2000,"Ação, Comédia, Esporte",Robert Boris,2.2
2000,"Ação, Comédia, Família",Blair Treu,6.6
2000,"Ação, Comédia, Fantasia",Craig Mazin,6
2000,"Ação, Comédia, Fantasia",Rob Spera,3.6
2000,"Ação, Comédia, Romance",Kundan Shah,3
2000,"Ação, Comédia, Romance",Wisit Sasanatieng,7
2000,"Ação, Crime",Damiano Damiani,1.7
2000,"Ação, Crime, Drama",Christopher McQuarrie,6.7
2000,"Ação, Crime, Drama",Hark Tsui,7
2000,"Ação, Crime, Drama",John Frankenheimer,5.7
2000,"Ação, Crime, Drama",Raj KanGuerra,4.6
2000,"Ação, Crime, Drama",Rob Cohen,5.6
2000,"Ação, Crime, Drama",Rodney Gibbons,4.9
2000,"Ação, Crime, Drama",Stephen Kay,5.1
2000,"Ação, Crime, Fantasia",Bharat Nalluri,5
2000,"Ação, Crime, Romance","Oxide Pang Chun, Danny Pang",6.7
2000,"Ação, Crime, Romance",Rakesh Roshan,6.9
2000,"Ação, Crime, Thriller",Aleksey Balabanov,7.9
2000,"Ação, Crime, Thriller",Andrzej Bartkowiak,6.1
2000,"Ação, Crime, Thriller",Antoine Fuqua,5.7
2000,"Ação, Crime, Thriller",Chi-Leung Law,6.8
2000,"Ação, Crime, Thriller",Dominic Sena,6.5
2000,"Ação, Crime, Thriller",John Singleton,5.9
2000,"Ação, Drama",David Giancola,4.2
2000,"Ação, Drama",Dharmesh Darshan,3.7
2000,"Ação, Drama",Lorenzo Doumani,3.8
2000,"Ação, Drama",Ridley Scott,8.5
2000,"Ação, Drama, Crime",Jon Gunn,5.5
2000,"Ação, Drama, Fantasia",Vic Sarin,4.6
2000,"Ação, Drama, Guerra",William Friedkin,6.4
2000,"Ação, Drama, História",Roland Emmerich,7.1
2000,"Ação, Drama, História",Tanit Jitnukul,6.8
2000,"Ação, Drama, Musical",Mansoor Khan,6.1
2000,"Ação, Drama, Romance",Ang Lee,7.9
2000,"Ação, Drama, Romance",Rajkumar Santoshi,6.9
2000,"Ação, Drama, Sci-Fi",Kinji Fukasaku,7.8
2000,"Ação, Drama, Sci-Fi",Sheldon Lettich,3.4
2000,"Ação, Drama, Thriller",Mahesh Manjrekar,6.1
2000,"Ação, Drama, Thriller",Sanjay Gupta,4.7
2000,"Ação, Drama, Thriller",Taylor Hackford,6.2
2000,"Ação, Drama, Thriller",Terry Cunningham,4.6
2000,"Ação, Fantasia, Terror",Ry�hei Kitamura,6.6
2000,"Ação, Guerra",Jonathan Mostow,6.6
2000,"Ação, História",Gakuryu Ishii,6.6
2000,"Ação, Mistério, Sci-Fi",Roger Spottiswoode,5.9
2000,"Ação, Romance",Harry Baweja,4.9
2000,"Ação, Romance, Thriller",Ram Gopal Varma,6.3
2000,"Ação, Sci-Fi",Benny Chan,5.1
2000,"Ação, Sci-Fi",Geoff Murphy,4.4
2000,"Ação, Sci-Fi","M, David Melvin",6.5
2000,"Ação, Sci-Fi, Thriller",Antony Hoffman,5.6
2000,"Ação, Sci-Fi, Thriller",Rodney McDonald,2.6
2000,"Ação, Terror, Sci-Fi",David Twohy,7.1
2000,"Ação, Terror, Sci-Fi",David Twohy,7.1
2000,"Ação, Terror, Sci-Fi",Masaaki Tezuka,6.3
2000,"Ação, Thriller","Eric Norris, Michael Preece",4.7
2000,"Ação, Thriller","Eric Norris, Michael Preece",4.7
2000,"Ação, Thriller",Gordon Chan,6
2000,"Ação, Thriller",Scott Wiper,5.7
2000,"Ação, Thriller",Yossi Wein,5
2000,"Animação, Ação, Aventura","Don Bluth, Gary Goldman, Art Vitello",6.6
2000,"Animação, Ação, Aventura",Kevin Altieri,6.2
2000,"Animação, Ação, Aventura","Mamoru Hosoda, Shigeyasu Yamauchi",5.8
