director,peso_diretor
50 Cent,4.9
A. Dean Bell,6.6
A. Edward Sutherland,6.6
A. Karunakaran,7.2
A. Todd Smith,
A.B. Stone,3.6
A.C. Abadie,3.7
A.D. Calvo,4.8
A.G. Amid,7.5
A.J. Edwards,6.0
A.J. Kparr,4.8
A.R. Murugadoss,7.0
A.W. Vidmer,6.1
AJ Schnack,7.6
Aage Rais-Nordentoft,5.6
Aanand Rai,7.4
Aarne Tarkas,5.4
Aaron C. Peer,7.0
Aaron Harvey,4.6
Aaron Hendren,6.2
Aaron J. Wiederspahn,7.0
Aaron James Sorensen,7.8
Aaron Katz,6.3
Aaron Kaufman,
Aaron Kim Johnston,6.3
Aaron Leong,
Aaron Lipstadt,4.0
Aaron Newman,7.2
Aaron Norris,4.4
Aaron Osborne,4.0
Aaron Schneider,7.1
Aaron Schock,7.1
Aaron Speiser,5.7
Aaron Wilson,4.9
Aaron Woodley,5.9
Aaron Woolf,7.1
Aar�n Fern�ndez Lesur,6.6
Aatish Kapadia,7.1
Abai Karpykov,7.4
Abbas Fahdel,7.9
Abbas Kiarostami,7.2
Abbas Tyrewala,7.6
Abbe Wool,6.4
Abby Berlin,7.0
Abby Epstein,7.4
Abdellatif Kechiche,7.1
Abderrahmane Sissako,6.9
Abdul Malik Abbott,4.1
Abdullah Oguz,7.7
Abe Forsythe,
Abe Levitow,7.3
Abe Rosenberg,4.0
Abe Sylvia,6.5
Abel Ferrara,5.8
Abel Ferry,5.6
Abel Gance,6.7
Abhijit Panse,7.3
Abhinav Kashyap,6.3
Abhishek Chaubey,7.4
Abhishek Jain,8.6
Abhishek Kapoor,7.8
Abhishek Sharma,7.3
Abhishek Varman,7.1
Abner Pastoll,
Abolfazl Jalili,6.7
Abraham Polonsky,6.9
Abrar Alvi,8.1
Ace Cruz,4.5
Ace Jordan,
Achero Ma�as,6.9
Achim Bornhak,6.4
Acim Vasic,7.8
Adam Alleca,
Adam Arkin,6.9
Adam Benzine,
Adam Bernstein,4.6
Adam Bhala Lough,6.9
Adam Blaiklock,5.4
Adam Brooks,5.9
Adam Butcher,8.4
Adam Coleman Howard,6.1
Adam Collis,5.7
Adam Cornelius,7.6
Adam Curtis,8.1
Adam Deyoe,4.9
Adam Dubin,7.3
Adam Egypt Mortimer,4.8
Adam Elliot,8.1
Adam Fields,4.2
Adam Gierasch,4.9
Adam Goldberg,4.9
Adam Green,5.8
Adam Grossman,3.4
Adam Kane,6.3
Adam Leon,6.6
Adam Levins,
Adam Lipsius,5.8
Adam MacDonald,6.0
Adam Marcus,4.9
Adam Mason,5.7
Adam Massey,4.6
Adam McKay,6.6
Adam Meyerowitz,2.4
Adam Miklos,7.7
Adam Neutzsky-Wulff,3.7
Adam Nimoy,
Adam Park,5.0
Adam Randall,
Adam Rapp,5.8
Adam Rehmeier,3.6
Adam Reid,6.4
Adam Resnick,5.0
Adam Rifkin,5.9
Adam Ripp,6.1
Adam Robitel,6.0
Adam Rodgers,6.5
Adam Salky,6.5
Adam Schindler,7.1
Adam Schomer,8.1
Adam Shankman,5.9
Adam Sherman,4.4
Adam Simon,6.7
Adam Smith,8.3
Adam Spinks,3.4
Adam Stephen Kelly,
Adam Thomas Anderegg,7.2
Adam Vardy,6.0
Adam Wimpenny,5.2
Adam Wingard,6.0
Adam Wood,5.9
Adam Yauch,7.3
Adamo P. Cultraro,4.8
Ademir Kenovic,7.3
Adilkhan Yerzhanov,6.2
Adirley Queir�s,7.2
Adisorn Trisirikasem,7.3
Aditya Bhattacharya,7.8
Aditya Chopra,7.5
Aditya Datt,5.6
Aditya Sarpotdar,6.9
Adolf Winkelmann,6.0
Adolfo Aristarain,7.7
Adoor Gopalakrishnan,7.3
Adriaan Ditvoorst,7.1
Adrian Edmondson,6.0
Adrian Grenier,7.4
Adrian Grunberg,7.0
Adrian Kwan,7.5
Adrian Lyne,6.6
Adrian Maben,8.6
Adrian Moat,6.8
Adrian Pasdar,7.9
Adrian Pennick,7.7
Adrian Popovici,5.5
Adrian Rudomin,5.6
Adrian Shergold,7.3
Adrian Tanner,
Adrian Tofei,6.2
Adrian Vitoria,5.8
Adriana Maggs,6.5
Adriana Trigiani,7.3
Adriano Celentano,5.8
Adrienne Shelly,6.6
Adri�n Biniez,6.8
Adri�n Caetano,7.3
Adri�n Garc�a Bogliano,5.9
Adri�nne Wurpel,5.8
Afia Nathaniel,7.5
Afonso Poyart,7.6
Agnieszka Holland,7.0
Agnieszka Lukasiak,6.8
Agnieszka Wojtowicz-Vosloo,5.9
Agn�s Jaoui,6.6
Agn�s Merlet,6.4
Agn�s Obadia,5.7
Agn�s Varda,7.2
Agustin,5.2
Agust� Vila,6.2
Agust� Villaronga,7.0
Agust�n D�az Yanes,6.4
Ahathian,7.4
Ahmad Abdalla,7.0
Ahmed Ahmed,7.8
Ahmed El Maanouni,6.9
Ahmed Imamovic,7.9
Ahmed Khan,3.8
Ahmet Ulucay,7.9
Aida Begic,7.2
Aida Zyablikova,7.6
Aigars Grauba,7.5
Aik Karapetian,5.5
Aileen Ritchie,6.3
Aimee Lagos,5.7
Ain M�eots,7.2
Aisling Walsh,6.4
Aivars Freimanis,5.8
Aiyana Elliott,7.8
Ajay Bahl,6.6
Ajmal Zaheer Ahmad,4.2
Akan Satayev,6.1
Aki Kaurism�ki,7.1
Akihiko Shiota,7.1
Akim Isker,4.8
Akinori Nagaoka,7.0
Akira Hirose,4.3
Akira Inoue,7.6
Akira Kurosawa,7.7
Akira Nagai,
Akira Suzuki,7.4
Akitar� Daichi,6.9
Akiva Goldsman,6.2
Akiva Schaffer,6.2
Akiyuki Shinbo,5.5
Akiz,7.3
Akseli Tuomivaara,5.3
Aktan Arym Kubat,6.8
Aku Louhimies,6.3
Ak�ay Karaazmak,6.6
Al Adamson,2.8
Al Corley,6.1
Al Pacino,7.3
Al Reinert,8.2
Al Waxman,6.0
Alain Berb�rian,6.4
Alain Berliner,6.8
Alain Cavalier,6.9
Alain Chabat,6.0
Alain Corneau,6.8
Alain Darborg,5.7
Alain Desrochers,5.5
Alain Fresnot,7.0
Alain Gomis,6.4
Alain Gsponer,5.8
Alain Guiraudie,6.3
Alain Jessua,6.0
Alain Margot,6.5
Alain Monne,6.7
Alain Resnais,7.3
Alain Robak,5.8
Alain Robbe-Grillet,6.6
Alain Robillard,5.6
Alain Tanner,7.1
Alain Tasma,7.1
Alain Zaloum,5.2
Alan Alda,6.2
Alan Ari Lazar,5.6
Alan Arkin,7.2
Alan Badoev,6.9
Alan Ball,7.0
Alan Berliner,7.4
Alan Bridges,7.0
Alan Brown,6.2
Alan Bunce,6.3
Alan C. Blomquist,8.1
Alan Clarke,7.2
Alan Cohn,6.0
Alan Cooke,6.5
Alan Crosland,6.9
Alan Cumming,4.8
Alan Deutsch,6.9
Alan G. Parker,6.5
Alan Gibson,6.0
Alan Grint,7.3
Alan Hicks,7.5
Alan Holleb,4.4
Alan Holly,7.7
Alan Hruska,5.5
Alan J. Pakula,6.7
Alan Jacobs,6.1
Alan Johnson,5.8
Alan Lomax,8.5
Alan Lowery,8.0
Alan Mehrez,4.4
Alan Metter,5.4
Alan Metzger,5.0
Alan Myerson,5.0
Alan Pao,4.6
Alan Parker,7.1
Alan Peterson,4.8
Alan Poul,5.2
Alan Rafkin,6.5
Alan Ravenscroft,6.9
Alan Rickman,6.8
Alan Roberts,3.3
Alan Rudolph,6.0
Alan Schneider,7.5
Alan Shapiro,5.4
Alan Smithee,6.7
Alan Spencer,5.4
Alan Stivelman,8.0
Alan Taylor,6.9
Alan Wade,6.1
Alan White,5.0
Alan Yuen,6.3
Alan Zweig,6.4
Alant� Kava�t�,6.9
Alastair Orr,4.2
Alastair Reid,6.1
Alastair Siddons,5.6
Albert Band,5.1
Albert Brooks,6.6
Albert Dupontel,6.8
Albert Falzon,7.6
Albert Finney,6.5
Albert Herman,5.7
Albert Lamorisse,7.8
Albert Lewin,7.1
Albert Magnoli,5.1
Albert Maysles,6.5
Albert Parker,6.5
Albert Pyun,4.9
Albert Ray,5.6
Albert S. Rogell,6.2
Albert Serra,5.9
Albert Xavier,5.5
Albert Zugsmith,6.6
Albertina Carri,6.2
Alberto Arvelo,7.1
Alberto Cardone,6.1
Alberto Cavalcanti,7.5
Alberto Cavallone,6.4
Alberto Cort�s,6.6
Alberto De Martino,5.0
Alberto Fuguet,6.2
Alberto G. Rodriguez,
Alberto Lattuada,6.8
Alberto Mar,4.8
Alberto Marini,8.1
Alberto Negrin,7.2
Alberto Rodr�guez,6.7
Alberto Sciamma,5.5
Alberto Sordi,6.3
Albrecht Viktor Blum,6.4
Aldo Lado,6.0
Aldo Monti,5.1
Alec Baldwin,5.6
Alec Gillis,4.6
Alejandro Agresti,7.1
Alejandro Amen�bar,7.7
Alejandro Brugu�s,6.5
Alejandro Chomski,3.6
Alejandro Doria,7.7
Alejandro Fadel,5.9
Alejandro Fern�ndez Almendras,6.3
Alejandro Gonz�lez I��rritu,7.7
Alejandro Hidalgo,6.9
Alejandro Jodorowsky,7.0
Alejandro Monteverde,7.4
Alejandro Sessa,4.4
Alejandro Springall,6.2
Alejandro Sugich,5.2
Alejo Flah,5.9
Alek Keshishian,6.3
Alekos Sakellarios,7.1
Aleksandar Manic,8.1
Aleksandar Petrovic,7.4
Aleksander Bach,5.9
Aleksander Nordaas,5.6
Aleksandr Adabashyan,6.6
Aleksandr Askoldov,7.7
Aleksandr Atanesyan,5.4
Aleksandr Buravskiy,6.1
Aleksandr Dovzhenko,7.3
Aleksandr Gintsburg,6.5
Aleksandr Grishin,6.9
Aleksandr Kaydanovskiy,7.3
Aleksandr Kott,7.3
Aleksandr Medvedkin,7.5
Aleksandr Melnik,6.6
Aleksandr Mindadze,
Aleksandr Mitta,7.7
Aleksandr Muratov,6.5
Aleksandr Nevzorov,7.4
Aleksandr Pavlovskiy,7.4
Aleksandr Petrov,7.8
Aleksandr Proshkin,6.9
Aleksandr Ptushko,5.6
Aleksandr Rogozhkin,7.0
Aleksandr Rou,7.1
Aleksandr Sanin,6.6
Aleksandr Seryj,8.5
Aleksandr Sokurov,7.2
Aleksandr Stolper,7.4
Aleksandr Strizhenov,5.5
Aleksandr Tatarskiy,8.4
Aleksandr Veledinskiy,7.1
Aleksandr Voytinskiy,6.1
Aleksandr Zakharov,6.7
Aleksandr Zarkhi,7.3
Aleksandr Zeldovich,6.2
Aleksei Gordeyev,4.0
Aleksei Mizgiryov,6.5
Aleksey Andrianov,5.3
Aleksey Balabanov,7.2
Aleksey Batalov,7.3
Aleksey Fedorchenko,6.8
Aleksey German,7.2
Aleksey Korenev,7.1
Aleksey Muradov,6.8
Aleksey Nuzhny,7.5
Aleksey Popogrebskiy,7.0
Aleksey Sidorov,6.1
Aleksey Tsitsilin,6.9
Aleksey Uchitel,6.8
Aleksi Bardy,5.5
Aleksi M�kel�,5.8
Aleksi Salmenper�,6.6
Aleksi Vellis,5.8
Alessandro Angelini,6.1
Alessandro Baricco,6.1
